"Date";"Alliz_Maso_Strimo_Osservatore";"Andalo";"Anterivo_Osservatore";"Anterselva_di_Mezzo_Osservatore";"Belvedere_sas_bece_";"Bondone_viote";"Braies_Ferrara_Osservatore";"Bronzolo_Osservatore";"Buffaure";"Campiglio_pradalago";"Canazei_ciampac";"Caoria";"Casere_di_Fuori_Osservatore";"Col_verde";"Corona_Cortaccia_Osservatore";"Costalovara_Osservatore";"Diga_di_Gioveretto_Osservatore";"Diga_di_Neves_Osservatore";"Diga_di_Quaira_Osservatore";"Diga_di_Valdaora_Osservatore";"Diga_di_Vizze_Osservatore";"Diga_di_Zoccolo_Osservatore";"Dossioli_pra_alpesina";"Favogna_di_sotto_Osservatore";"Fie_allo_Sciliar_Osservatore";"Fleres_Osservatore";"Folgaria_passo_sommo";"Folgarida_malghet_aut";"Fontana_Bianca";"Fortezza_Osservatore";"Fundres_Osservatore";"Groste_";"La_Villa_in_Badia_Osservatore";"Lago_di_calaita";"Lago_Verde_Osservatore";"Lazfons_Osservatore";"Longiaru_Osservatore";"Lusia";"Luson_Osservatore";"Maia_Alta_Osservatore";"Malga_baessa";"Malga_bissina";"Malga_val_cigolera";"Malga_zugna";"Marmolada";"Masi_lozen";"Mazia_Osservatore";"Melago_Osservatore";"Meltina_Osservatore";"Molini_di_Tures_Osservatore";"Monte_bondone_vason_palon";"Monte_Maria_Osservatore";"Nova_Levante_Osservatore";"Nova_Ponente_Maso_di_sopra_Osservatore";"Ora_Osservatore";"Ortisei_Osservatore";"Paganella";"Pampeago";"Pampeago_monsorno";"Pampeago_tresca";"Panarotta";"Paneveggio";"Passo_brocon_malga_marande";"Passo_durone";"Passo_fedaia";"Passo_rolle";"Passo_san_pellegrino";"Passo_san_valentino";"Passo_tonale_scuola_pat";"Passo_valles";"Pejo_tarlenta";"Pennes_Osservatore";"Pinzolo_grual";"Plata_Osservatore";"Pozza_di_fassa";"Prato_allo_Stelvio_Osservatore";"Predazzo_gardone";"Presena";"Rabbi";"Racines_di_Dentro_Osservatore";"Redagno_Osservatore";"Ridanna_Osservatore";"Rifiano_Beobachter";"Rifugio_trivena";"Roia_di_Fuori_Osservatore";"Rumo";"S_Cassiano_Osservatore";"S_Genesio_Atesino_Osservatore";"S_Leonardo_in_Passiria_Osservatore";"S_Maddalena_in_Casies_Osservatore";"S_Martino_in_Passiria_Osservatore";"S_Pancrazio_Osservatore";"S_Valentino_alla_Muta_Osservatore";"S_Valpurga_d_Ultimo_Osservatore";"S_Vito_di_Braies_Osservatore";"San_Candido_Osservatore";"San_martino_di_castrozza";"San_Martino_Osservatore";"Scena_Osservatore";"Sesto_Osservatore";"Silandro_Convento_Osservatore";"Slingia_Osservatore";"Terento_Osservatore";"Terme_di_Brennero_Osservatore";"Tremalzo";"Trento_citta_";"Val_noana_diga";"Vallarsa_pian_fugazze";"Valles_osservatore";"Valluzza_Osservatore";"Vanga_Osservatore";"Vermiglio";"Vigo_di_fassa_ciampedie";"Villa_welsperg";"Vipiteno_osservatore"
"1980-1981";9;NA;5;10;NA;14;20;0;NA;NA;NA;NA;8;NA;2;NA;19;33;14;16;13;2;NA;5;1;NA;NA;NA;18;1;11;NA;18;NA;29;2;20;NA;7;0;NA;26;NA;NA;NA;NA;5;19;1;10;NA;3;NA;12;3;9;31;31;NA;NA;NA;23;26;NA;NA;39;NA;NA;26;49;NA;23;NA;4;13;1;NA;NA;5;16;14;35;0;NA;15;NA;19;NA;NA;18;0;1;7;NA;22;14;4;14;0;15;0;13;6;20;NA;NA;16;NA;NA;8;2;NA;NA;NA;1
"1981-1982";23;37;10;14;NA;34;33;1;NA;NA;NA;NA;18;NA;5;NA;47;65;36;17;30;9;NA;10;2;NA;NA;NA;41;1;23;NA;27;NA;22;6;32;NA;7;1;NA;72;NA;NA;NA;NA;14;60;5;16;NA;21;NA;19;3;10;92;49;NA;NA;NA;24;40;NA;NA;104;NA;30;64;91;NA;41;NA;11;25;4;NA;NA;16;30;20;61;1;NA;54;NA;34;NA;NA;20;3;6;23;NA;17;21;33;26;1;21;1;36;9;47;82;NA;35;NA;NA;15;4;NA;NA;NA;4
"1982-1983";14;NA;3;6;NA;14;17;0;NA;NA;NA;NA;10;NA;2;NA;33;67;55;11;15;3;NA;1;1;NA;NA;NA;35;1;16;NA;15;NA;50;2;19;NA;2;0;NA;53;NA;NA;NA;NA;7;34;1;6;NA;9;NA;7;4;9;70;34;NA;NA;NA;17;19;NA;NA;113;NA;NA;64;63;NA;24;NA;5;14;1;NA;NA;12;15;10;25;0;NA;46;NA;7;NA;NA;18;0;1;14;NA;12;12;9;14;0;11;1;20;5;27;NA;NA;8;NA;NA;9;1;NA;NA;NA;0
"1983-1984";24;54;11;12;NA;77;40;1;NA;NA;NA;NA;9;NA;5;NA;53;64;55;17;28;25;NA;4;2;NA;NA;NA;59;0;23;NA;37;NA;79;7;30;NA;7;1;NA;86;NA;NA;NA;NA;7;78;3;8;NA;16;NA;23;3;16;126;65;NA;NA;NA;50;93;NA;NA;149;NA;NA;96;79;74;52;NA;15;43;3;NA;NA;39;31;28;56;0;NA;54;NA;22;NA;NA;28;1;9;29;NA;37;30;53;30;1;32;1;41;9;60;NA;NA;54;NA;NA;28;9;NA;NA;NA;4
"1984-1985";14;NA;15;0;NA;63;12;1;NA;NA;NA;NA;6;NA;3;NA;57;33;77;6;4;9;NA;15;1;NA;NA;NA;62;0;4;NA;16;NA;58;3;10;NA;3;1;NA;115;NA;NA;NA;NA;2;33;3;3;NA;2;NA;15;0;7;150;62;NA;NA;NA;34;70;NA;NA;162;NA;NA;122;87;NA;17;NA;3;28;2;NA;NA;29;12;21;19;0;NA;27;NA;18;NA;NA;9;1;5;6;NA;16;9;41;10;1;16;1;16;3;6;NA;NA;38;NA;NA;13;3;NA;NA;NA;2
"1985-1986";33;54;20;0;NA;73;51;2;NA;NA;NA;NA;33;NA;10;NA;71;75;102;30;31;24;NA;6;6;NA;74;NA;76;5;40;NA;44;NA;83;14;52;NA;12;1;NA;121;NA;NA;NA;NA;18;82;5;38;NA;28;NA;31;3;21;177;86;NA;NA;NA;45;92;NA;NA;146;NA;59;97;101;NA;39;NA;17;53;9;NA;NA;50;44;33;67;2;NA;59;NA;40;NA;NA;37;5;21;36;NA;34;37;58;38;3;42;4;49;12;39;74;NA;47;96;NA;33;11;NA;NA;NA;7
"1986-1987";16;NA;14;0;NA;48;18;1;NA;NA;82;NA;13;NA;3;NA;45;51;54;8;15;13;NA;1;1;NA;NA;NA;50;1;15;NA;19;NA;41;4;10;NA;6;0;NA;65;NA;NA;NA;NA;7;45;2;6;NA;7;NA;15;2;9;96;64;NA;NA;NA;32;61;NA;NA;92;NA;NA;58;73;64;32;NA;4;34;2;24;NA;33;26;19;40;0;NA;46;NA;22;NA;NA;17;1;3;16;NA;18;14;41;16;0;24;1;28;5;29;NA;NA;36;NA;NA;15;4;NA;NA;NA;1
"1987-1988";16;NA;3;0;NA;34;16;0;NA;NA;NA;NA;12;NA;2;NA;39;50;52;8;14;16;NA;3;1;NA;NA;NA;41;0;13;NA;25;NA;42;3;31;NA;2;0;NA;76;NA;NA;NA;NA;2;44;2;4;NA;11;NA;12;0;8;105;54;NA;NA;NA;32;49;NA;NA;110;NA;23;76;74;NA;25;NA;5;27;2;NA;NA;27;20;16;38;0;NA;30;NA;37;NA;NA;10;0;0;13;NA;17;13;45;15;0;29;0;27;4;26;NA;NA;18;NA;NA;13;0;NA;NA;NA;2
"1988-1989";5;NA;2;7;NA;11;7;0;NA;NA;NA;NA;4;NA;2;NA;10;16;35;2;4;4;NA;2;0;NA;NA;NA;21;0;6;NA;3;NA;30;1;8;NA;1;0;NA;30;NA;NA;NA;NA;1;17;1;3;NA;1;4;4;0;3;37;15;NA;NA;NA;10;16;NA;NA;34;NA;NA;35;33;NA;17;NA;4;7;1;NA;NA;6;8;5;20;0;NA;22;NA;9;NA;NA;5;1;2;4;NA;5;5;7;7;0;5;0;9;2;8;NA;NA;5;NA;NA;3;1;NA;NA;NA;1
"1989-1990";8;1;1;5;NA;2;3;0;NA;NA;26;NA;5;NA;0;0;19;14;42;1;1;1;NA;0;0;NA;NA;NA;14;0;2;NA;4;NA;61;0;3;NA;0;0;NA;17;NA;NA;NA;NA;3;34;0;2;NA;4;NA;2;0;0;30;10;NA;NA;NA;5;8;NA;NA;30;NA;NA;27;27;NA;5;NA;0;4;0;4;NA;2;13;2;3;0;NA;30;NA;5;NA;NA;5;0;0;11;NA;2;2;4;3;0;3;0;12;0;0;NA;NA;1;NA;NA;0;0;NA;NA;NA;3
"1990-1991";19;NA;14;12;NA;37;27;1;NA;NA;123;NA;18;NA;8;NA;52;58;58;16;20;29;NA;13;3;NA;NA;NA;61;2;21;NA;33;NA;77;7;35;NA;8;1;NA;80;NA;NA;NA;NA;4;29;5;9;NA;17;NA;24;7;18;108;74;NA;NA;112;42;74;NA;NA;122;NA;NA;84;101;NA;41;NA;14;42;4;NA;NA;44;31;24;39;1;NA;24;NA;37;NA;NA;21;2;8;14;NA;26;22;49;31;1;26;1;28;9;33;NA;NA;30;NA;NA;14;5;NA;NA;NA;4
"1991-1992";19;NA;1;10;NA;11;23;1;NA;NA;97;NA;16;NA;3;NA;35;64;57;15;36;6;NA;4;1;NA;NA;NA;36;1;29;NA;25;NA;55;5;32;NA;4;1;NA;50;NA;NA;NA;NA;8;59;3;7;NA;9;NA;8;6;8;54;56;NA;NA;68;27;30;NA;NA;76;NA;NA;61;67;60;38;NA;3;31;2;NA;NA;11;24;13;43;1;NA;65;NA;23;NA;NA;26;1;2;24;NA;24;20;23;19;0;28;1;31;8;34;NA;NA;11;NA;NA;12;2;NA;NA;NA;9
"1992-1993";12;NA;2;5;NA;18;9;0;NA;NA;NA;2;10;NA;1;NA;34;32;33;4;23;4;NA;3;1;NA;NA;NA;28;0;6;NA;12;NA;44;3;13;NA;1;0;NA;45;NA;NA;NA;NA;3;35;1;3;NA;7;NA;5;0;5;48;32;NA;NA;NA;13;27;NA;NA;46;NA;NA;52;56;NA;14;NA;1;8;1;NA;NA;13;11;9;25;0;NA;38;NA;16;NA;NA;4;0;1;9;NA;10;8;14;9;0;12;0;18;3;11;NA;NA;10;NA;NA;7;1;NA;NA;NA;3
"1993-1994";14;NA;6;7;NA;24;17;1;NA;NA;NA;NA;10;NA;3;NA;34;49;33;8;16;7;NA;6;2;NA;NA;NA;25;2;16;NA;14;NA;42;4;21;NA;5;1;NA;54;NA;NA;NA;NA;3;36;2;9;NA;8;NA;13;4;8;59;42;NA;NA;NA;28;46;NA;NA;70;NA;NA;52;55;60;22;NA;3;22;3;11;NA;19;16;14;20;0;NA;42;NA;19;NA;NA;13;1;5;21;NA;15;15;31;16;1;10;1;25;5;12;NA;NA;27;NA;NA;12;2;NA;NA;NA;3
"1994-1995";13;NA;2;8;NA;14;14;1;NA;NA;NA;NA;10;NA;2;NA;23;39;39;10;12;9;NA;4;2;NA;NA;NA;20;2;9;NA;15;NA;30;3;18;NA;6;0;NA;38;NA;NA;NA;NA;8;35;1;9;NA;9;NA;8;0;4;44;31;NA;NA;NA;15;27;NA;NA;48;NA;NA;46;26;NA;26;NA;2;21;2;NA;182;15;19;10;25;0;NA;38;NA;18;NA;NA;11;1;6;16;NA;13;18;16;10;1;11;2;16;7;15;NA;NA;12;NA;NA;14;2;NA;NA;NA;3
"1995-1996";12;NA;1;4;NA;52;12;0;NA;NA;NA;NA;9;NA;2;NA;31;28;45;3;11;6;NA;5;1;NA;NA;NA;50;0;6;NA;15;NA;24;2;18;NA;1;0;NA;69;NA;NA;NA;NA;2;24;1;3;NA;4;NA;10;1;2;106;40;NA;NA;NA;17;43;NA;NA;66;NA;NA;61;56;NA;14;NA;2;19;1;NA;NA;21;8;11;20;0;NA;24;NA;17;NA;NA;5;0;1;11;NA;7;7;27;7;0;8;0;20;4;8;NA;NA;20;NA;NA;6;0;NA;NA;NA;1
"1996-1997";21;NA;4;9;NA;25;12;1;NA;NA;NA;NA;12;NA;3;NA;42;32;45;2;20;5;NA;5;1;NA;NA;NA;37;1;8;NA;19;NA;56;3;26;NA;2;1;NA;54;NA;NA;NA;NA;6;38;2;4;NA;9;NA;7;0;7;62;35;NA;NA;71;14;43;NA;NA;56;NA;NA;78;60;NA;20;NA;5;25;3;NA;NA;11;10;13;24;0;NA;42;NA;20;NA;NA;9;1;3;16;NA;12;9;20;15;0;10;1;28;4;12;NA;NA;11;NA;NA;11;3;NA;NA;NA;3
"1997-1998";12;9;3;2;NA;29;8;0;NA;NA;NA;NA;7;NA;1;NA;39;25;46;3;4;6;NA;3;0;NA;NA;NA;28;0;3;NA;12;NA;39;0;19;NA;1;0;7;56;NA;NA;NA;NA;2;26;1;2;NA;5;NA;6;0;2;82;41;NA;NA;84;14;30;NA;NA;78;NA;NA;66;63;NA;16;NA;2;19;1;NA;NA;15;4;12;13;0;NA;23;NA;16;NA;NA;5;0;1;8;NA;8;5;27;5;0;7;0;18;2;6;NA;NA;11;NA;NA;7;0;NA;NA;NA;1
"1998-1999";14;NA;7;5;NA;21;13;0;NA;NA;NA;NA;10;NA;2;NA;23;38;38;9;7;8;NA;5;1;NA;NA;NA;18;0;10;NA;14;NA;40;1;16;NA;2;0;13;46;NA;NA;NA;NA;7;43;2;4;NA;7;NA;5;0;4;45;35;NA;NA;NA;14;32;NA;NA;36;NA;NA;52;44;NA;19;NA;6;11;2;NA;NA;18;15;6;30;0;NA;49;NA;15;NA;NA;11;1;3;13;NA;9;10;19;10;1;14;1;24;3;15;NA;NA;20;NA;NA;6;1;NA;NA;NA;2
"1999-2000";15;17;4;10;NA;26;15;1;NA;NA;67;NA;10;NA;3;NA;26;40;38;11;8;4;NA;6;2;NA;NA;NA;15;1;12;NA;17;NA;35;4;21;NA;5;1;11;47;NA;NA;NA;NA;4;48;2;6;NA;6;NA;7;3;6;59;44;NA;NA;71;18;29;NA;NA;38;NA;NA;45;29;NA;21;NA;6;20;2;24;147;15;20;9;35;0;NA;45;NA;19;NA;NA;11;2;4;11;NA;14;12;21;15;0;9;1;18;5;19;NA;NA;13;NA;NA;12;2;NA;NA;3;4
"2000-2001";19;NA;3;10;NA;28;11;0;NA;NA;NA;NA;19;NA;1;NA;76;50;100;4;14;5;NA;3;0;NA;NA;NA;87;0;7;NA;7;NA;125;1;17;NA;2;0;NA;100;NA;NA;NA;NA;13;45;1;3;NA;7;NA;5;0;2;137;47;NA;NA;NA;8;27;NA;NA;120;NA;NA;134;100;NA;21;NA;5;15;1;NA;NA;9;18;7;46;0;NA;57;NA;15;NA;NA;12;0;2;20;NA;10;8;17;13;0;10;0;51;3;21;NA;NA;8;NA;NA;7;1;NA;NA;4;3
"2001-2002";4;NA;1;1;NA;13;1;0;NA;NA;NA;NA;3;NA;0;NA;16;20;21;0;2;1;NA;1;0;NA;NA;NA;12;0;1;NA;3;NA;23;0;2;NA;0;0;NA;23;NA;NA;NA;NA;1;28;0;0;NA;1;NA;2;0;0;36;16;NA;NA;NA;3;13;NA;NA;24;NA;NA;24;26;NA;3;NA;0;3;0;NA;NA;5;2;3;10;0;NA;17;NA;3;NA;NA;2;0;0;1;NA;1;1;6;2;0;2;0;3;1;4;NA;NA;5;NA;NA;1;0;NA;NA;NA;0
"2002-2003";11;NA;1;3;NA;15;9;0;NA;NA;NA;NA;7;NA;0;NA;46;20;39;3;2;2;NA;2;0;NA;NA;NA;37;0;2;NA;9;NA;59;0;9;NA;1;0;NA;41;NA;NA;NA;NA;2;25;0;0;NA;0;NA;2;0;1;52;18;NA;NA;NA;12;22;NA;NA;48;NA;NA;74;55;NA;6;NA;1;7;1;18;308;6;4;4;12;0;NA;21;NA;8;NA;NA;5;0;1;2;NA;4;4;8;3;0;8;0;7;1;10;NA;NA;10;NA;NA;3;1;NA;NA;NA;1
"2003-2004";20;NA;10;6;NA;61;22;0;NA;NA;NA;NA;15;NA;4;NA;68;47;79;5;13;18;NA;19;2;NA;NA;NA;62;0;15;NA;24;NA;97;6;34;NA;4;0;NA;91;NA;NA;NA;NA;9;37;3;4;NA;7;NA;19;1;6;116;59;NA;NA;NA;26;71;NA;NA;92;NA;NA;105;87;NA;30;NA;6;28;2;NA;NA;29;20;19;38;0;NA;36;NA;27;NA;NA;9;1;5;12;NA;14;16;34;19;1;24;1;31;7;17;NA;NA;34;NA;NA;11;4;NA;NA;NA;3
"2004-2005";12;NA;7;5;NA;35;14;0;NA;NA;NA;NA;9;NA;2;NA;28;32;34;4;12;9;NA;8;0;NA;NA;NA;23;0;9;NA;16;26;37;1;16;NA;1;1;NA;47;NA;NA;NA;NA;3;30;1;2;NA;3;NA;13;1;8;62;40;NA;NA;NA;17;54;NA;NA;46;NA;NA;46;45;NA;23;NA;7;21;2;NA;NA;23;16;15;25;0;NA;23;NA;19;NA;NA;8;1;3;8;9;10;9;20;12;0;16;1;17;3;17;NA;NA;20;NA;NA;8;2;NA;NA;NA;2
"2005-2006";16;NA;14;17;NA;56;26;2;NA;NA;71;NA;17;NA;7;NA;35;59;59;18;22;21;NA;23;3;NA;NA;NA;32;1;23;NA;22;55;49;5;24;NA;8;6;NA;69;NA;NA;NA;NA;11;47;4;14;NA;14;NA;19;14;10;98;53;43;82;NA;34;60;NA;NA;66;NA;NA;66;52;NA;34;NA;11;37;5;50;142;35;23;20;36;2;NA;43;NA;32;NA;NA;24;7;11;20;10;24;25;39;21;2;27;3;30;11;36;NA;NA;42;NA;NA;17;7;NA;NA;27;7
"2006-2007";4;NA;1;5;NA;13;9;0;NA;NA;NA;NA;5;NA;0;NA;19;21;19;9;6;4;NA;1;0;NA;NA;NA;16;0;6;NA;8;16;25;1;12;NA;1;0;NA;21;NA;NA;NA;NA;1;16;0;2;NA;1;NA;5;0;2;33;27;NA;NA;NA;10;17;NA;NA;44;NA;NA;30;41;NA;13;NA;1;12;1;NA;NA;8;7;6;17;0;NA;16;NA;10;NA;NA;8;0;0;3;2;7;7;13;7;0;9;0;8;3;5;NA;NA;4;NA;NA;7;0;NA;NA;NA;1
"2007-2008";20;NA;2;8;NA;26;8;0;NA;NA;NA;NA;12;NA;1;NA;32;36;57;4;11;6;NA;4;0;NA;NA;NA;40;0;9;NA;10;NA;54;1;15;NA;1;0;NA;73;NA;NA;NA;NA;11;48;0;2;NA;5;NA;10;0;3;79;27;NA;NA;NA;15;27;NA;NA;78;NA;NA;87;53;NA;19;NA;3;18;0;NA;190;12;11;7;31;0;NA;51;NA;14;NA;NA;10;0;0;22;NA;10;7;17;9;0;7;0;31;3;14;NA;NA;12;NA;NA;9;1;NA;NA;4;1
"2008-2009";35;NA;37;16;NA;107;40;3;NA;NA;NA;NA;32;NA;17;NA;80;105;96;18;34;48;NA;40;7;NA;NA;NA;82;2;32;NA;50;134;113;15;58;NA;9;3;NA;142;NA;NA;NA;NA;15;52;17;9;NA;25;NA;39;22;24;186;103;NA;NA;NA;78;122;NA;NA;160;NA;NA;137;136;NA;78;NA;44;71;14;NA;356;85;54;50;75;2;NA;53;NA;64;NA;NA;30;6;29;35;NA;40;35;87;50;5;51;3;54;12;58;NA;NA;71;NA;NA;33;12;NA;NA;NA;10
"2009-2010";20;NA;5;8;NA;46;21;0;NA;NA;NA;NA;15;NA;2;NA;82;47;82;11;17;18;NA;7;1;NA;NA;NA;65;0;11;139;19;NA;97;4;27;NA;4;0;NA;84;NA;NA;NA;NA;14;38;1;6;NA;15;NA;17;3;7;103;54;NA;NA;NA;24;52;NA;NA;122;NA;NA;99;91;NA;28;NA;11;20;3;NA;226;45;21;16;34;0;NA;35;NA;23;NA;NA;9;1;3;32;NA;15;13;30;14;0;13;1;49;4;22;NA;NA;19;NA;NA;20;3;NA;NA;NA;3
"2010-2011";14;NA;5;7;135;33;9;1;NA;NA;NA;NA;22;NA;6;NA;53;31;59;9;11;3;NA;5;1;NA;NA;NA;48;1;8;151;20;NA;85;2;21;NA;3;0;NA;88;NA;NA;NA;NA;6;30;1;6;NA;4;NA;7;5;4;112;36;68;130;NA;15;32;NA;NA;128;NA;NA;125;102;NA;20;NA;2;20;0;NA;280;16;13;12;26;1;NA;26;NA;19;NA;NA;9;1;1;9;NA;11;8;22;13;1;14;0;20;2;14;NA;NA;10;NA;NA;8;2;NA;NA;NA;2
"2011-2012";17;NA;4;12;NA;14;13;0;NA;NA;NA;NA;15;NA;1;NA;18;29;34;13;15;3;NA;4;2;NA;NA;NA;6;0;16;NA;13;NA;21;5;17;NA;6;0;NA;26;NA;NA;NA;NA;13;37;1;12;NA;9;NA;7;0;7;32;20;NA;NA;NA;11;15;NA;NA;17;NA;NA;30;16;NA;21;NA;8;15;0;NA;166;12;20;7;32;0;NA;46;NA;14;NA;NA;19;0;2;20;NA;15;13;15;12;0;10;0;26;6;19;NA;NA;5;NA;NA;11;0;NA;NA;NA;3
"2012-2013";17;NA;11;7;NA;44;24;0;NA;NA;NA;NA;16;NA;7;NA;57;58;64;15;7;6;NA;10;2;NA;NA;NA;51;0;14;NA;32;NA;82;4;36;NA;7;0;NA;75;NA;NA;NA;NA;10;45;1;5;NA;8;NA;23;1;8;112;55;NA;NA;NA;35;60;NA;NA;113;NA;NA;98;102;NA;28;NA;4;34;0;NA;195;19;17;26;34;0;NA;41;NA;35;NA;NA;17;1;4;12;NA;20;14;45;13;0;21;0;27;7;16;NA;NA;27;NA;NA;17;3;NA;NA;17;3
"2013-2014";31;NA;13;9;NA;90;28;0;NA;NA;NA;NA;25;NA;4;NA;94;81;101;11;25;33;NA;20;1;NA;NA;NA;85;0;16;179;34;NA;117;15;49;NA;5;0;NA;140;NA;NA;NA;NA;14;27;7;6;NA;19;NA;34;0;14;183;77;125;176;NA;51;108;NA;NA;212;NA;NA;126;151;NA;51;NA;23;49;10;NA;320;62;36;41;84;1;NA;33;NA;38;NA;NA;15;1;5;26;NA;29;31;64;33;1;39;1;43;5;50;NA;NA;38;NA;NA;30;5;NA;NA;NA;5
"2014-2015";7;NA;3;1;NA;19;2;0;NA;NA;NA;NA;4;NA;0;NA;24;17;28;1;5;5;NA;2;0;NA;NA;NA;26;0;3;NA;4;NA;39;0;3;NA;0;0;NA;38;NA;NA;NA;NA;2;25;0;0;NA;4;NA;2;0;1;50;22;NA;NA;NA;10;34;NA;NA;49;NA;NA;61;52;NA;15;NA;2;10;1;NA;219;13;7;5;9;0;NA;22;NA;7;NA;NA;3;0;1;7;NA;3;3;11;7;0;2;0;15;1;6;NA;NA;9;NA;NA;4;0;NA;NA;NA;0
"2015-2016";4;NA;2;3;NA;28;6;0;NA;NA;NA;NA;5;NA;1;NA;21;24;22;5;6;3;NA;3;0;NA;NA;NA;14;0;3;NA;10;NA;38;1;8;NA;1;0;NA;39;NA;NA;NA;NA;2;19;1;1;NA;4;NA;5;0;1;44;18;NA;NA;NA;14;30;NA;NA;59;NA;NA;39;31;NA;12;NA;2;11;0;NA;NA;9;6;6;15;0;NA;21;NA;13;NA;NA;7;0;1;12;NA;5;4;15;7;0;5;0;18;1;8;NA;NA;10;NA;NA;5;1;NA;NA;NA;1
"2016-2017";4;NA;1;2;NA;7;3;0;NA;NA;NA;NA;3;NA;0;0;9;11;12;3;2;0;NA;0;0;NA;NA;NA;8;0;1;NA;2;NA;37;0;4;NA;0;0;NA;14;NA;NA;NA;NA;2;14;0;0;NA;2;NA;2;0;0;16;6;NA;NA;NA;4;7;NA;NA;16;NA;NA;18;11;NA;8;NA;0;5;0;NA;54;2;5;2;4;0;NA;13;NA;6;NA;NA;2;0;0;4;NA;1;2;4;2;0;2;0;8;1;3;NA;NA;1;NA;NA;2;0;NA;NA;NA;0
"2017-2018";29;NA;8;18;NA;37;33;0;NA;NA;NA;NA;23;NA;3;NA;64;65;98;21;19;22;NA;10;2;NA;NA;NA;50;0;19;NA;30;NA;118;3;37;NA;12;0;NA;78;NA;NA;NA;NA;21;64;2;8;NA;19;NA;15;2;12;117;63;NA;NA;NA;34;53;NA;NA;123;NA;NA;93;94;NA;41;NA;21;34;4;NA;81;37;25;29;50;0;NA;72;NA;31;NA;NA;25;2;6;42;NA;21;23;38;23;1;21;1;55;6;37;NA;NA;22;NA;NA;27;3;NA;NA;10;5
"2018-2019";14;NA;3;9;NA;18;12;0;NA;NA;NA;NA;11;NA;2;NA;26;36;63;4;15;4;NA;4;1;NA;NA;NA;20;0;11;90;6;NA;95;4;12;NA;4;1;NA;36;NA;NA;NA;NA;8;57;1;8;NA;8;NA;7;0;4;54;28;NA;NA;NA;7;17;NA;NA;60;NA;NA;38;43;NA;19;NA;5;13;2;NA;188;6;19;6;25;0;NA;63;NA;16;NA;NA;9;2;2;21;NA;10;11;15;11;1;9;1;30;4;16;NA;NA;7;NA;NA;9;2;NA;NA;NA;3
"2019-2020";25;NA;5;4;NA;32;11;0;NA;NA;NA;NA;18;NA;3;NA;64;52;76;3;13;8;NA;5;1;NA;NA;NA;62;0;4;NA;28;NA;97;2;22;NA;2;0;NA;109;NA;NA;NA;NA;16;44;1;3;NA;7;NA;16;0;9;126;47;NA;NA;NA;14;19;NA;NA;136;NA;NA;122;97;NA;35;NA;4;24;2;NA;NA;27;19;24;26;0;NA;45;NA;36;NA;NA;11;0;1;20;NA;14;9;20;12;0;12;1;34;1;17;NA;NA;2;NA;NA;15;2;NA;NA;NA;2
